Window,SL Multiplier,Either Candle,Same Candle,Two Lots One Candle,Either Candle - Diff,Either Candle - % Change,Two Lots One Candle - Diff,Two Lots One Candle - % Change,Metric
7,2.0,3934.069999999992,3715.850000000007,3634.700000000004,218.2199999999848,5.872680544155021,-81.15000000000327,-2.183887939502486,Total PnL
7,2.5,3880.0049999999937,3655.354999999995,3585.2849999999903,224.64999999999873,6.145777906660202,-70.07000000000471,-1.9169136786989172,Total PnL
7,2.75,3909.9999999999936,3575.7900000000063,3538.965,334.2099999999873,9.346466095603677,-36.825000000006185,-1.0298423565143962,Total PnL
7,3.0,3865.699999999989,3561.6000000000035,3527.970000000001,304.09999999998536,8.538297394429051,-33.63000000000238,-0.9442385444744594,Total PnL
7,3.25,3788.107499999982,3508.19,3472.2325,279.9174999999818,7.97897206251605,-35.95749999999998,-1.0249587394069302,Total PnL
7,3.5,3726.154999999989,3467.140000000007,3433.3350000000064,259.0149999999817,7.4705665188016965,-33.805000000000746,-0.9750111042530927,Total PnL
7,3.75,3687.5399999999872,3390.290000000004,3351.8649999999984,297.2499999999832,8.767686540088985,-38.42500000000564,-1.1333838698166114,Total PnL
7,4.0,3794.359999999981,3334.7,3291.7399999999966,459.6599999999812,13.784148499114801,-42.96000000000322,-1.2882718085585876,Total PnL
8,1.0,3735.4899999999657,3327.869999999999,3405.520000000003,407.6199999999667,12.248675579273433,77.65000000000418,2.333324318558243,Total PnL
8,1.5,3699.779999999962,3363.609999999994,3433.0250000000005,336.1699999999678,9.994321577114123,69.41500000000633,2.06370536417737,Total PnL
8,2.0,3495.0799999999617,3332.9499999999957,3378.8600000000006,162.129999999966,4.864459412831462,45.91000000000486,1.3774584077170349,Total PnL
8,2.5,3432.259999999952,3296.304999999992,3353.1249999999973,135.9549999999599,4.124466637643065,56.820000000005166,1.7237482575188066,Total PnL
8,2.75,3542.534999999952,3211.529999999999,3297.215000000003,331.00499999995327,10.306769670529418,85.68500000000404,2.6680429577180993,Total PnL
8,3.0,3548.0599999999386,3191.8899999999867,3278.419999999993,356.16999999995187,11.158592558012757,86.53000000000611,2.7109330208749824,Total PnL
8,3.25,3474.4524999999294,3140.4699999999752,3217.317499999981,333.98249999995414,10.634793518166287,76.84750000000577,2.4470063398155806,Total PnL
8,3.5,3401.089999999934,3120.329999999979,3218.38499999998,280.7599999999552,8.997766261900411,98.0550000000012,3.142456086375539,Total PnL
8,3.75,3358.047499999937,2999.477499999979,3110.7399999999807,358.5699999999579,11.954415394013136,111.26250000000164,3.709396053146003,Total PnL
8,4.0,3401.1999999999343,2929.7099999999805,3039.879999999983,471.48999999995385,16.093401736006534,110.17000000000235,3.7604404531507583,Total PnL
9,1.0,3373.5299999999406,2834.87999999999,2971.079999999992,538.6499999999505,19.000804266845595,136.2000000000021,4.8044361666103175,Total PnL
9,1.5,3408.704999999936,2909.209999999994,3037.8799999999947,499.4949999999417,17.169437751140094,128.67000000000053,4.422850189570392,Total PnL
9,2.0,3288.4799999999386,2905.61,3013.8500000000013,382.8699999999385,13.176923262238857,108.24000000000115,3.72520744353169,Total PnL
9,2.5,3148.014999999934,2795.224999999997,2898.8849999999998,352.78999999993675,12.621166453503282,103.66000000000258,3.7084671180317392,Total PnL
9,2.75,3354.839999999936,2879.210000000001,3012.5950000000007,475.6299999999351,16.519461935737056,133.38499999999976,4.632694384918076,Total PnL
