Window,SL Multiplier,Total Trades,Total Units,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,PnL per Unit,Efficiency Ratio
6,4.0,2144,4676,20.522388059701495,3518.440000000064,1.6410634328358509,263.2099999999899,5.672947451372061,19.62440909090912,-3.459296822177112,0.2774883743821399,-43.548333333333176,-0.09537543158800915,59.26285714285677,8634.740000000013,-5116.299999999948,6.583193644681923,0.20303767837234776,0.41103970676420365,1.2780308838667045,1.6410634328358509,0.7524465355004415,5.9139898617009425
7,1.0,2198,3879,14.604185623293903,3645.690000000017,1.658639672429489,140.29999999999518,10.890126179685065,21.662772585669806,-1.9892122669873673,0.1900530859419618,-49.36400000000003,0.016495306142145626,58.69999999999982,6953.750000000008,-3308.0599999999918,5.005126223282367,0.1686161168148511,0.45965070245024314,1.4649675044880432,1.658639672429489,0.9398530549110639,8.727244097136115
7,2.0,2055,4017,17.566909975669102,3664.010000000024,1.782973236009744,156.31999999999448,7.851398426555014,21.446675900277032,-2.731574012056253,0.2605970070886105,-49.36400000000003,0.030582408548467704,58.69999999999982,7742.250000000009,-4078.2399999999857,9.208328711856247,0.19053844821779367,0.455304850657778,1.5157973837356287,1.782973236009744,0.9121259646502424,6.841879175548173
7,3.0,1979,4076,19.302678120262758,3404.830000000009,1.7204800404244613,171.2899999999923,6.4166922099468096,20.863481675392652,-3.251438746438735,0.2903034442818422,-49.36400000000003,0.003587931396547675,58.69999999999982,7969.849999999993,-4565.019999999984,13.016629247717779,0.19537540844804774,0.42699388654146814,1.403386721544888,1.7204800404244613,0.8353361138370974,5.92648855641591
7,4.0,1930,4155,20.466321243523318,3525.429999999996,1.8266476683937805,214.17999999999188,5.837191505393011,21.442962025316426,-3.6735066864784485,0.2854971407262827,-49.36400000000003,-0.012767107978376904,58.69999999999982,8469.969999999988,-4944.539999999992,12.449809928853803,0.20559410894281613,0.43622311084432797,1.4669104851065131,1.8266476683937805,0.8484789410348968,6.398129465489321
8,1.0,2030,3613,15.172413793103448,3743.290000000001,1.8439852216748773,144.3199999999988,10.43673601554278,23.164772727272744,-2.2195418848167563,0.22641144289482068,-41.01799999999957,-0.07926343395246781,50.48666666666713,7134.7500000000055,-3391.4600000000037,4.105071529016782,0.1760768583115464,0.451934800906872,1.631871366672685,1.8439852216748773,1.0360614447827292,8.144399408873957
8,2.0,1882,3698,18.012752391073324,3734.639999999993,1.9843995749202938,164.55999999999813,7.623428491966922,23.253923303834824,-3.0503235294117745,0.3069401171652795,-41.01799999999957,-0.051890913652994176,50.48666666666713,7883.080000000005,-4148.440000000013,11.165292834800187,0.19644019848705024,0.4468197906813241,1.6877953209976817,1.9843995749202938,1.0099080584099493,6.465103334315027
8,3.0,1808,3738,19.690265486725664,3567.4399999999937,1.9731415929203504,214.2399999999957,6.354748092416246,22.96202247191012,-3.613364705882361,0.3275073411102216,-41.01799999999957,-0.07675703942074799,50.48666666666713,8174.480000000003,-4607.04000000001,14.009641303506408,0.20395643116751788,0.4307274683866573,1.6193995835502295,1.9731415929203504,0.9543713215623311,6.02472477786779
8,4.0,1769,3791,20.689655172413794,3329.69999999999,1.882249858677213,259.68000000000393,5.604147374181488,22.72527322404372,-4.055081300813017,0.32665613189963405,-41.01799999999957,-0.08064177652319922,50.48666666666713,8317.45,-4987.750000000011,13.968879858921241,0.20163154898640243,0.39579615530054446,1.4856817043297563,1.882249858677213,0.878317066737006,5.762175189338063
9,1.0,1885,3295,15.066312997347481,3008.4000000000065,1.5959681697612766,223.58999999999833,9.336789619854322,22.54954225352115,-2.4151280227596024,0.295781794450763,-38.27333333333354,-0.10122085806912695,50.620000000000346,6404.070000000007,-3395.670000000001,2.331725721211945,0.15853137334613304,0.34914217052163876,1.3461273398206282,1.5959681697612766,0.913019726858879,5.395762010048078
9,2.0,1742,3346,17.623421354764638,2814.839999999995,1.615866819747414,209.26999999999725,6.870071571267889,22.641237785016273,-3.295633466135459,0.3927955916388757,-38.27333333333354,-0.1197933865471124,50.620000000000346,6950.859999999996,-4136.020000000001,9.940272949465474,0.1670526072085915,0.32299480865453223,1.2753306406978249,1.615866819747414,0.8412552301255216,4.113760067941375
